Tweet_ID,Created_Date,Text,Likes,Retweets,Elapsed (Hours),Like Score,Retweet Score
1409804475645059072,2021-06-29 09:22:34+05:30,"With features like ‘Scan to Pay’ and ‘Pay to Contact’, #iMobilePayByICICIBank enables users to transfer funds seamlessly in a jiffy. Download the app now: https://t.co/8oiFFXOgD6 

#BankFromHome #StaySafeBankSafe https://t.co/GstAlFcAPq",1378,100,57.71059549444445,23.877764354946816,1.732784060591206
1409779669084164096,2021-06-29 07:44:00+05:30,"Now, you can access all your #ICICIBank relationships using a single user ID and password. 

Learn more here: https://t.co/bpkyfgQuyK https://t.co/WPUmeX5ODj",29,2,59.35382540166667,0.4885952978388091,0.03369622743715925
1409774744623222798,2021-06-29 07:24:26+05:30,"Kick-start your digital banking journey with #ICICIBankiPlay! Watch multiple demo videos on iPlay and learn how to bank with ease from the safety and comfort of your home, here: https://t.co/OysL1x2WKa 

#StaySafeBankSafe #BankFromHome https://t.co/0Y0NMVq1ym",8,1,59.67993651277778,0.13404839997252946,0.016756049996566182
1409549653490618371,2021-06-28 16:30:00+05:30,"Granting unnecessary app. permissions could prove to be risky and hence, ALWAYS verify app. permissions and grant only those that serve the functionality of the app. #SafeBanking https://t.co/DCJhxrzlxx",38,3,74.587158735,0.5094710757787387,0.040221400719374106
1409502341850533908,2021-06-28 13:22:00+05:30,"#ICICIBank #iMobilePay simplifies making payments with its ‘Pay to Contact’ feature. All you need to do is enter the beneficiary’s mobile number. Watch the video to know more!
https://t.co/FWJbT4r37H",16,1,77.72049206833334,0.20586591224785986,0.012866619515491241
1409489255643025415,2021-06-28 12:30:00+05:30,"No more waiting in queues to pay your utility bills! With #iMobilePayByICICIBank, you can now pay bills on the go in just a few simple clicks. Download the app to get started: https://t.co/8oiFFXOgD6 https://t.co/1CpzYp8EW3",24,1,78.587158735,0.305393405059079,0.01272472521079496
1409404721006145537,2021-06-28 06:54:05+05:30,"You can now count on just one app for all your payment needs! With #ICICIBank #iMobilePay, users can conveniently send or receive money to/from all payment apps that use UPI.

Download today: https://t.co/8oiFFXOgD6 https://t.co/2ptkLtr5ak",16,2,84.18576984611111,0.19005587321049017,0.02375698415131127
1409157067689140224,2021-06-27 14:30:00+05:30,"#ICICIBank #InstaBIZ app allows business banking customers to transfer funds from their current account on the go. Watch this video to know more!  #WorldMSMEDay
https://t.co/GeSobe1PgM",13,1,100.587158735,0.12924114930265507,0.009941626869435005
1409143887243857922,2021-06-27 13:37:38+05:30,"This #WorldMSMEDay, take your business to new heights with #ICICIBankMerchantStack - a comprehensive set of digital banking solutions, available on one single platform for all your business banking needs. https://t.co/ORPlOWWYuI",15,1,101.45993651277779,0.14784160640698718,0.009856107093799145
1409132655870885890,2021-06-27 12:53:00+05:30,Raise a demand draft request digitally with the #ICICIBank #InstaBIZ app. Watch this step-by-step guide to experience this exciting feature. #WorldMSMEDay https://t.co/mw2zvF6y0f,23,1,102.20382540166668,0.2250405002905589,0.009784369577850387
1409111770275356673,2021-06-27 11:30:00+05:30,"#ICICIBank eases business banking for its customers with #InstaBIZ app – a platform that enables you to fulfill your business banking needs in a safe and convenient manner from the comfort of your home. Watch the video to know more! #WorldMSMEDay 
https://t.co/XfHi5o9do9",13,2,103.587158735,0.12549818103667673,0.019307412467181036
